commodity,equity,correlation,z_score_corr,lag1,lag3,lag5,lag10,lag20
Platinum,Kinross,0.3812239743036908,0.3815921702816197,-0.017107560071274876,-0.013287873149728313,-0.06032591436721875,0.01955848154179617,-0.022411045736860553
Brent_Oil,Freeport,0.3779536333386277,0.3387069753184752,-0.006199503965053993,0.05066128063963162,-0.013403414634857343,0.02649893285375189,0.006018831527989629
Platinum,BHP,0.37502219803200576,0.3520175551514188,-0.01877338724200347,-0.043666590068430995,-0.013846817808883905,0.011021076836795481,-0.028069625732833278
WTI_Oil,Phillips66,0.3684917209168268,0.38282978616712565,-0.017098986790897254,0.09777791013278041,-0.03227632307693609,0.0351980586910812,-0.0005012584241719891
Brent_Oil,Marathon,0.3660846504538144,0.34331295850196014,0.012204866302314824,0.06254270796959496,0.02175714101922992,0.028029550493789995,-0.004125496587043169
Platinum,SouthernCopper,0.3576562788648937,0.3423111420459999,-0.0016417065655230192,-0.025417151166273202,-0.005668412872247044,0.008379164460387684,-0.026063518342964196
Gasoline,BHP,0.35304541348002855,0.3281643844540957,-0.0694085850601526,-0.006171774258509662,-0.03272658218986252,-0.04632928281590519,-0.025189355338287422
Brent_Oil,Valero,0.34978623514836055,0.338740338722739,-0.005721252299541937,0.07075994190877416,0.0031822858355062436,0.037478926034285084,-0.009064707714865984
Platinum,Freeport,0.34741052964375435,0.3212662956151047,0.002068652081753902,-0.04765479972337051,-0.013690080833887478,0.01707337572170107,-0.024203034960272724
WTI_Oil,Freeport,0.34700111090027813,0.34109615154099604,0.003509805091234038,0.040714440300509906,-0.014686434311743978,0.018582041537701287,-0.006314507575986934
Platinum,RioTinto,0.34686382741211286,0.3255399797881604,-0.003359365950795779,-0.030818925526778423,-0.022371911479865683,-0.0049274951898937835,-0.019484814650743087
Brent_Oil,RioTinto,0.3393496260015554,0.3094279572264406,-0.04013721762018779,0.01617927801730255,-0.001927054627971374,0.01751431444461671,-0.01669930328010321
Aluminum,SouthernCopper,0.33282537051295796,0.3070045539869349,-0.03498013434915124,0.026540668641619396,0.013555662600173806,-0.007804150233460499,-0.011135928957197705
Palladium,SouthernCopper,0.32838141272886495,0.3287618282379913,0.016549219000282257,-0.014089964019470711,0.006705659599525395,0.01653507582068057,-0.024744424415830267
Gasoline,SouthernCopper,0.32370871637085136,0.29804974336230383,-0.0465526235895178,0.022134642709840682,-0.00232393582849055,0.014139502104557718,-0.014838923369670041
WTI_Oil,RioTinto,0.32284177503500666,0.3225329851609548,-0.032706428993726354,0.018119126061468514,0.003344172947785004,0.029702178634780578,-0.00779610734882041
Gasoline,Freeport,0.32090563641743386,0.29694543914539984,-0.044500050475466076,0.02079266087364867,-0.025207953753158315,-0.02306782818134662,-0.010600067774341063
Palladium,FirstMajestic,0.32069144908653363,0.3041521023554861,-0.014978894882737405,0.006241176636521012,-0.030523968094242217,0.010920030279683171,-0.019554897551921305
WTI_Oil,Marathon,0.3180617210731998,0.3291503255955867,0.008675899664260075,0.08080268339058701,0.007634551939461261,0.02874591840560465,0.004666125497554996
